Condition,Model_Label,Configuration,Number_of_Predictors,Accuracy_Mean_SD,Macro_Precision_Mean_SD,Macro_Recall_Mean_SD,Macro_F1_Mean_SD,Number_of_Validation_Scores
Original imbalanced class distribution,AdaBoost,ATTD & PBC & SN,32,0.8559 ± 0.0242,0.8242 ± 0.0306,0.8063 ± 0.0469,0.8112 ± 0.0373,25
Original imbalanced class distribution,AdaBoost,ATTD & PBC,28,0.8485 ± 0.0350,0.8158 ± 0.0462,0.7957 ± 0.0556,0.8011 ± 0.0490,25
Original imbalanced class distribution,AdaBoost,ATTD & SN,28,0.8559 ± 0.0280,0.8336 ± 0.0413,0.7907 ± 0.0437,0.8052 ± 0.0389,25
Original imbalanced class distribution,AdaBoost,PBC & SN,28,0.8614 ± 0.0305,0.8336 ± 0.0433,0.8157 ± 0.0408,0.8206 ± 0.0371,25
Original imbalanced class distribution,AdaBoost,ATTD,24,0.8497 ± 0.0318,0.8229 ± 0.0501,0.7852 ± 0.0416,0.7987 ± 0.0426,25
Original imbalanced class distribution,AdaBoost,PBC,24,0.8497 ± 0.0358,0.8160 ± 0.0473,0.8010 ± 0.0477,0.8053 ± 0.0461,25
Original imbalanced class distribution,AdaBoost,SN,24,0.8295 ± 0.0298,0.8022 ± 0.0459,0.7448 ± 0.0480,0.7619 ± 0.0471,25
Original imbalanced class distribution,DT,ATTD & PBC & SN,32,0.8259 ± 0.0416,0.7858 ± 0.0542,0.7663 ± 0.0514,0.7727 ± 0.0516,25
Original imbalanced class distribution,DT,ATTD & PBC,28,0.8296 ± 0.0419,0.7908 ± 0.0538,0.7709 ± 0.0528,0.7773 ± 0.0525,25
Original imbalanced class distribution,DT,ATTD & SN,28,0.8203 ± 0.0346,0.7803 ± 0.0499,0.7486 ± 0.0558,0.7580 ± 0.0520,25
Original imbalanced class distribution,DT,PBC & SN,28,0.8075 ± 0.0419,0.7670 ± 0.0537,0.7489 ± 0.0681,0.7476 ± 0.0615,25
Original imbalanced class distribution,DT,ATTD,24,0.8056 ± 0.0357,0.7715 ± 0.0614,0.7050 ± 0.0718,0.7166 ± 0.0744,25
Original imbalanced class distribution,DT,PBC,24,0.8234 ± 0.0403,0.7817 ± 0.0502,0.7752 ± 0.0595,0.7735 ± 0.0541,25
Original imbalanced class distribution,DT,SN,24,0.7981 ± 0.0289,0.7791 ± 0.0572,0.6893 ± 0.0615,0.7011 ± 0.0567,25
Original imbalanced class distribution,GB,ATTD & PBC & SN,32,0.8492 ± 0.0294,0.8187 ± 0.0427,0.7974 ± 0.0453,0.8027 ± 0.0404,25
Original imbalanced class distribution,GB,ATTD & PBC,28,0.8504 ± 0.0310,0.8138 ± 0.0390,0.8060 ± 0.0425,0.8080 ± 0.0395,25
Original imbalanced class distribution,GB,ATTD & SN,28,0.8418 ± 0.0358,0.8092 ± 0.0492,0.7836 ± 0.0546,0.7907 ± 0.0502,25
Original imbalanced class distribution,GB,PBC & SN,28,0.8492 ± 0.0371,0.8159 ± 0.0510,0.8010 ± 0.0497,0.8049 ± 0.0469,25
Original imbalanced class distribution,GB,ATTD,24,0.8258 ± 0.0334,0.7855 ± 0.0453,0.7609 ± 0.0451,0.7697 ± 0.0440,25
Original imbalanced class distribution,GB,PBC,24,0.8406 ± 0.0322,0.8029 ± 0.0435,0.7926 ± 0.0425,0.7950 ± 0.0412,25
Original imbalanced class distribution,GB,SN,24,0.8412 ± 0.0402,0.8092 ± 0.0574,0.7797 ± 0.0557,0.7893 ± 0.0526,25
Original imbalanced class distribution,KNN,ATTD & PBC & SN,32,0.8669 ± 0.0295,0.8481 ± 0.0440,0.8060 ± 0.0503,0.8199 ± 0.0452,25
Original imbalanced class distribution,KNN,ATTD & PBC,28,0.8658 ± 0.0406,0.8484 ± 0.0596,0.8013 ± 0.0617,0.8170 ± 0.0589,25
Original imbalanced class distribution,KNN,ATTD & SN,28,0.8454 ± 0.0348,0.8378 ± 0.0524,0.7501 ± 0.0614,0.7742 ± 0.0608,25
Original imbalanced class distribution,KNN,PBC & SN,28,0.8497 ± 0.0320,0.8244 ± 0.0529,0.7842 ± 0.0474,0.7977 ± 0.0443,25
Original imbalanced class distribution,KNN,ATTD,24,0.8417 ± 0.0357,0.8426 ± 0.0481,0.7364 ± 0.0635,0.7624 ± 0.0652,25
Original imbalanced class distribution,KNN,PBC,24,0.8497 ± 0.0350,0.8304 ± 0.0542,0.7766 ± 0.0572,0.7926 ± 0.0548,25
Original imbalanced class distribution,KNN,SN,24,0.8233 ± 0.0306,0.8179 ± 0.0574,0.7079 ± 0.0465,0.7337 ± 0.0510,25
Original imbalanced class distribution,LR,ATTD & PBC & SN,32,0.8492 ± 0.0324,0.8183 ± 0.0486,0.8018 ± 0.0429,0.8052 ± 0.0393,25
Original imbalanced class distribution,LR,ATTD & PBC,28,0.8480 ± 0.0355,0.8202 ± 0.0519,0.7870 ± 0.0513,0.7975 ± 0.0475,25
Original imbalanced class distribution,LR,ATTD & SN,28,0.8431 ± 0.0368,0.8117 ± 0.0533,0.7848 ± 0.0535,0.7925 ± 0.0510,25
Original imbalanced class distribution,LR,PBC & SN,28,0.8541 ± 0.0300,0.8295 ± 0.0473,0.8022 ± 0.0439,0.8087 ± 0.0377,25
